Manager,Institution,Country,Vehicle,Amount (US$m),Year,Evidence type,In the 353-name universe,Universe name,Universe tier,Universe priority (1-5),Universe decision-maker,Universe consultant,Source,Read on
HarbourVest Partners,National Employment Savings Trust (NEST),United Kingdom,not named in source,,2024,manager press release,No,,,,,,https://www.harbourvest.com/nest-appoints-harbourvest-to-invest-in-private-equity/,2026-09-19
HarbourVest Partners,Norfolk Pension Fund,United Kingdom,HarbourVest segregated mandate including an Asia Pacific focused private equity sleeve,,2025,annual report,No,,,,,,https://lgpsboard.org/wp-content/uploads/2025/09/Norfolk_draft-1.pdf,2026-09-19
HarbourVest Partners,Northern LGPS / Northern Private Equity Pool LP,United Kingdom,HarbourVest TBW and HarbourVest Co-Investment Fund V,900.0,2020,public holdings schedule,No,,,,,,https://northernlgps.org/assets/data/q4_2025.xlsx,2026-09-19
HarbourVest Partners,"PFA Pension, forsikringsaktieselskab",Denmark,"HarbourVest Int. PEP IV-Partnership, HarbourVest Int. PEP IV-Direct, HarbourVest Int.PEP V-Cayman Direct",,2020,public holdings schedule,Yes,PFA Pension,2,5,,,https://www.pfa.dk/-/media/pfa-v2/dansk/dokumenter/om-pfa/aarsrapporter/alternative_investeringer_og_ejendomme_2020.pdf,2026-09-19
HarbourVest Partners,Pennsylvania State Employees' Retirement System (PA SERS),United States,HIPEP V-Asia Pacific & Rest of World,30.0,2005,public holdings schedule,Yes,Pennsylvania State Employees' Retirement System (PA SERS),2,4,,,https://sers.pa.gov/pdf/Investments/2022-Q4-Private%20Equity%20Performance-Update.pdf,2026-09-19
HarbourVest Partners,Shropshire County Pension Fund,United Kingdom,HIPEP Fund IX,20.0,2020,annual report,No,,,,,,https://lgpsboard.org/wp-content/uploads/2025/09/DraftShropshire-1.pdf,2026-09-19
HarbourVest Partners,Sjunde AP-fonden (AP7),Sweden,HarbourVest AP7 PE Investment L.P. and HarbourVest AP7 Holdings 2 LLC,,2025,SEC Form D,No,,,,,,https://www.sec.gov/Archives/edgar/data/2020407/000119312525191096/d74034d40appa.htm,2026-09-19
HarbourVest Partners,The Vanguard Group,United States,Vanguard HarbourVest 2020 to 2025 Private Equity Fund L.P. (annual series),,2025,SEC Form D,No,,,,,,https://www.sec.gov/Archives/edgar/data/2020407/000119312525191096/d74034d40appa.htm,2026-09-19
HarbourVest Partners,Tyne and Wear Pension Fund,United Kingdom,HIPEP VIII Partnership Fund,80.0,2017,public holdings schedule,No,,,,,,https://lgpsboard.org/wp-content/uploads/2026/03/Tyne-and-Wear-2425-final.pdf,2026-09-19
HarbourVest Partners,Virginia Retirement System (VRS),United States,VRS HV 2013 Separate Account LLC,,2013,SEC Form D,Yes,Virginia Retirement System (VRS),2,5,,,https://www.sec.gov/Archives/edgar/data/2020407/000119312525191096/d74034d40appa.htm,2026-09-19
HarbourVest Partners,West Midlands Pension Fund,United Kingdom,HIPEP VI-Asia Pacific Fund,,2025,public holdings schedule,Yes,West Midlands Pension Fund,3,2,,,https://lgpsboard.org/wp-content/uploads/2026/03/WestMidlands2425_final.pdf,2026-09-19
HarbourVest Partners,West Midlands Pension Fund,United Kingdom,HIPEP V-Asia Pacific & RoW,,2025,public holdings schedule,Yes,West Midlands Pension Fund,3,2,,,https://lgpsboard.org/wp-content/uploads/2026/03/WestMidlands2425_final.pdf,2026-09-19
HarbourVest Partners,West Midlands Pension Fund,United Kingdom,HIPEP VI - Emerging Markets,,2025,public holdings schedule,Yes,West Midlands Pension Fund,3,2,,,https://lgpsboard.org/wp-content/uploads/2026/03/WestMidlands2425_final.pdf,2026-09-19
HarbourVest Partners,West Yorkshire Pension Fund,United Kingdom,HIPEP VII (AIF) Partnership,25.0,2014,public holdings schedule,Yes,West Yorkshire Pension Fund (Northern LGPS),2,4,Simon Edwards ; John Dewey ; Euan Miller ; Darran Ward ; Councillor Andrew Thornton,"no manager-selection gatekeeper found, and WYPF is the least likely of the three to use one - it runs 20-plus investment staff internally in Bradford and manages much of the fund itself. The real screen is NPEP, where the three partner funds' internal teams select together; Councillor Andrew Thornton chairs the Joint Advisory Group and Investment Advisory Panel that oversees it.",https://www.wypf.org.uk/media/qj4eqe5b/private-equity-portfolio-quarterly-transactions-q1-2026.xlsx,2026-09-19
Hermes GPE (Federated Hermes Private Equity),Ardian,France,Hermes GPE PEC IV LP,,2019,trade press,No,,,,,,https://www.ipe.com/hermes-gpe-raises-16bn-in-private-equity/10034673.article,2026-09-19
Hermes GPE (Federated Hermes Private Equity),BT Pension Scheme (BTPS),United Kingdom,"Hermes GPE PEC IV LP, plus a separate USD 1bn three-year private-equity mandate awarded in 2022 and the Horizon I, II and III segregated mandates",1000,2022,manager press release,No,,,,,,https://www.hermes-investment.com/us/en/professional/press/federated-hermes-inc-and-bt-pension-scheme-announce-1-billion-private-equity-mandate/,2026-09-19
Hermes GPE (Federated Hermes Private Equity),Canada Pension Plan Investment Board (CPPIB),Canada,Hermes GPE PEC III Co-Investment Fund LP and Hermes GPE PEC IV LP,,2019,trade press,No,,,,,,https://www.ipe.com/hermes-gpe-raises-16bn-in-private-equity/10034673.article,2026-09-19
Hermes GPE (Federated Hermes Private Equity),Decalia Asset Management,Switzerland,Hermes GPE PEC IV LP,,2019,trade press,No,,,,,,https://www.ipe.com/hermes-gpe-raises-16bn-in-private-equity/10034673.article,2026-09-19
Hermes GPE (Federated Hermes Private Equity),Hostplus,Australia,"Hermes GPE PEC III, PEC IV and PEC V. Named in all three closes.",,2023,trade press,No,,,,,,https://exelerating.com/en/uk-market/alerts/federated-hermes-raises-486-million-for-private-equity-fund/,2026-09-19
Hermes GPE (Federated Hermes Private Equity),Korea Teachers Credit Union,South Korea,Hermes GPE PEC IV LP,,2019,trade press,No,,,,,,https://www.ipe.com/hermes-gpe-raises-16bn-in-private-equity/10034673.article,2026-09-19
Hermes GPE (Federated Hermes Private Equity),Local Pensions Partnership (LPP),United Kingdom,Hermes GPE PEC III Co-Investment Fund LP,,2017,trade press,Yes,Local Pensions Partnership Investments (LPPI),2,4,,,https://www.ipe.com/news/mandates/major-pension-schemes-back-hermes-pe-co-investment-fund/www.ipe.com/news/mandates/major-pension-schemes-back-hermes-pe-co-investment-fund/10020964.fullarticle,2026-09-19
Hermes GPE (Federated Hermes Private Equity),Local Pensions Partnership Investments (LPPI),United Kingdom,"Hermes GPE PEC III, PEC IV and PEC V. Named in all three closes.",,2023,trade press,Yes,Local Pensions Partnership Investments (LPPI),2,4,,,https://exelerating.com/en/uk-market/alerts/federated-hermes-raises-486-million-for-private-equity-fund/,2026-09-19
Hermes GPE (Federated Hermes Private Equity),Samsung Life Insurance,South Korea,"Federated Hermes PEC V LP. Source wording: 'new investors from Europe and Korea, such as Samsung Life Insurance.'",,2023,trade press,No,,,,,,https://exelerating.com/en/uk-market/alerts/federated-hermes-raises-486-million-for-private-equity-fund/,2026-09-19
Hermes GPE (Federated Hermes Private Equity),SeAH Group,South Korea,Hermes GPE PEC IV LP,,2019,trade press,No,,,,,,https://www.ipe.com/hermes-gpe-raises-16bn-in-private-equity/10034673.article,2026-09-19
Hermes GPE (Federated Hermes Private Equity),State Teachers Retirement System of Ohio,United States,Hermes GPE PEC III Co-Investment Fund LP and Hermes GPE PEC IV LP,,2019,trade press,Yes,State Teachers' Retirement System of Ohio,1,5,,,https://www.ipe.com/hermes-gpe-raises-16bn-in-private-equity/10034673.article,2026-09-19
LGT Capital Partners,Achmea Investment Management B.V.,Netherlands,not named in source,,2026,trade press,Yes,Achmea (Achmea Investment Management),3,3,,"Achmea Investment Management, Neuberger Berman Private Markets",https://www.ipe.com/news/achmea-im-launches-250m-private-equity-impact-fund/10132271.article,2026-09-19
LGT Capital Partners,Almenni lifeyrissjodurinn (Almenni - Lifsverk),Iceland,Crown Asia-Pacific Private Equity V Feeder plc,18.4,2025,annual report,No,,,,,,https://www.almenni-lifsverk.is/wp-content/uploads/Almenni-%E2%80%93-Lifsverk-arsskyrsla-2025_v2.pdf,2026-09-19
LGT Capital Partners,Devon County Council Pension Fund,United Kingdom,Crown Global Secondaries V PE Fund,,2025,public holdings schedule,No,,,,,,https://lgpsboard.org/wp-content/uploads/2025/11/Devon2425_final.pdf,2026-09-19
LGT Capital Partners,Festa lifeyrissjodur,Iceland,Crown Asia-Pacific III,2.6,2025,annual report,No,,,,,,https://festa.b-cdn.net/Festa_Arsskyrsla2025_Vefur_46d7782611.pdf,2026-09-19
LGT Capital Partners,Festa lifeyrissjodur,Iceland,Crown Global Secondaries IV,2.8,2025,annual report,No,,,,,,https://festa.b-cdn.net/Festa_Arsskyrsla2025_Vefur_46d7782611.pdf,2026-09-19
LGT Capital Partners,Keva,Finland,Keva Crown Emerging Asia Fund III LP,240.2,2025,annual report,Yes,Keva,1,5,Maaria Kettunen ; Markus Pauli ; Tapio Olhava ; Ari Huotari,"LGT Capital Partners (Crown-branded SMAs), Squadron Capital (historic Asia SMA)",https://www.keva.fi/globalassets/2-tiedostot/tama-on-keva--tiedostot/sijoitukset-talous-ja-raportointi/2026/keva-financial-statements-2025.pdf,2026-09-19
LGT Capital Partners,Keva,Finland,Keva Crown Emerging Asia Fund II LP,107.2,2025,annual report,Yes,Keva,1,5,Maaria Kettunen ; Markus Pauli ; Tapio Olhava ; Ari Huotari,"LGT Capital Partners (Crown-branded SMAs), Squadron Capital (historic Asia SMA)",https://www.keva.fi/globalassets/2-tiedostot/tama-on-keva--tiedostot/sijoitukset-talous-ja-raportointi/2026/keva-financial-statements-2025.pdf,2026-09-19
LGT Capital Partners,Keva,Finland,Keva Crown Emerging Asia Fund I LP,35.1,2025,annual report,Yes,Keva,1,5,Maaria Kettunen ; Markus Pauli ; Tapio Olhava ; Ari Huotari,"LGT Capital Partners (Crown-branded SMAs), Squadron Capital (historic Asia SMA)",https://www.keva.fi/globalassets/2-tiedostot/tama-on-keva--tiedostot/sijoitukset-talous-ja-raportointi/2026/keva-financial-statements-2025.pdf,2026-09-19
LGT Capital Partners,Keva,Finland,Keva Crown Secondaries Fund LP,352.8,2025,annual report,Yes,Keva,1,5,Maaria Kettunen ; Markus Pauli ; Tapio Olhava ; Ari Huotari,"LGT Capital Partners (Crown-branded SMAs), Squadron Capital (historic Asia SMA)",https://www.keva.fi/globalassets/2-tiedostot/tama-on-keva--tiedostot/sijoitukset-talous-ja-raportointi/2026/keva-financial-statements-2025.pdf,2026-09-19
LGT Capital Partners,LSR - Lifeyrissjodur starfsmanna rikisins (A-deild),Iceland,LGT Crown European Markets IV,,2025,annual report,No,,,,,,https://www.lsr.is/media/oi0m4lzc/arsreikningur-a-deild-2025-x.pdf,2026-09-19
LGT Capital Partners,Stapi lifeyrissjodur,Iceland,Crown Asia-Pacific Private Equity IV,,2022,annual report,No,,,,,,https://arsskyrsla.stapi.is/static/files/_blob/skyringar_2022.pdf,2026-09-19
Lexington Partners,Border to Coast Pensions Partnership,United Kingdom,"Lexington Co-investment Partners VI. Global, not Asia-dedicated. USD 200m, announced 22 December 2025, the largest single ticket in that tranche.",200,2025,manager press release,Yes,Border to Coast Pensions Partnership,1,5,,,https://www.bordertocoast.org.uk/news-insights/border-to-coast-commits-further-1bn-in-private-markets/,2026-09-19
Mitsubishi UFJ Trust and Banking Corporation (private equity gatekeeper and fund-of-funds business),Government Pension Investment Fund (GPIF),Japan,not named in source,,2021,manager press release,No,,,,,,https://www.gpif.go.jp/investment/private_equity_20210127.html,2026-09-19
Mitsubishi UFJ Trust and Banking Corporation (private equity gatekeeper and fund-of-funds business),Government Pension Investment Fund (GPIF),Japan,not named in source,,2022,manager press release,No,,,,,,https://www.gpif.go.jp/investment/private_equity20220112.html,2026-09-19
NewQuest Capital Partners (TPG NewQuest),New York State Common Retirement Fund,United States,"NewQuest Asia Fund IV, L.P., through the NYAI Co Investment Fund III",20,2019,public holdings schedule,Yes,New York State Common Retirement Fund,2,5,,,https://web.archive.org/web/20240227233122/https://www.osc.ny.gov/files/common-retirement-fund/resources/pdf/report-2019-06.pdf,2026-09-19
NewQuest Capital Partners (TPG NewQuest),"StepStone Private Markets (SPRIM, US registered closed-end fund)",United States,"NewQuest Asia Fund IV HH, L.P.",,2022,public holdings schedule,No,,,,,,https://www.sec.gov/Archives/edgar/data/1789470/000121390026066828/ea0293635-01_ncsr.htm,2026-09-19
NewQuest Capital Partners (TPG NewQuest),"TPG Inc. (general partner commitment, not a third-party LP)",United States,NewQuest Asia Fund V,20,2022,trade press,No,,,,,,https://ionanalytics.com/insights/mergermarket/tpg-newquest-closes-fifth-asia-secondaries-fund-on-usd-981m/,2026-09-19
Pantheon,Bayerische Versorgungskammer (BVK),Germany,not named in source,,2025,manager press release,Yes,Bayerische Versorgungskammer (BVK),1,5,,"Pantheon, Universal Investment (KVG/master-fund administration)",https://www.pantheon.com/news/pantheon-awarded-ninth-private-equity-mandate-by-bayerische-versorgungkammer-bvk/,2026-09-18
Pantheon,British Columbia Investment Management Corporation (BCI),Canada,Pantheon Asia Fund II Limited,,2017,public holdings schedule,Yes,British Columbia Investment Management Corporation,3,2,,Not applicable — BCI invests in-house.,https://www.bci.ca/wp-content/uploads/2018/02/investmentinventory2017-privateequity.pdf,2026-09-19
Pantheon,Buckinghamshire Pension Fund,United Kingdom,Pantheon Asia Fund VI LP,,2025,annual report,No,,,,,,https://lgpsboard.org/wp-content/uploads/2025/11/Buckinghamshire2425_draft.pdf,2026-09-19
Pantheon,Buckinghamshire Pension Fund,United Kingdom,Pantheon Asia Fund V LP,,2025,annual report,No,,,,,,https://lgpsboard.org/wp-content/uploads/2025/11/Buckinghamshire2425_draft.pdf,2026-09-19
Pantheon,Chicago Teachers' Pension Fund (CTPF),United States,Pantheon Asia Fund V,,2021,public holdings schedule,Yes,Chicago Teachers Pension Fund (CTPF),3,3,Fernando Vinzons,"Callan is the general investment consultant and also runs CTPF's private-equity RFPs, including the FY2026-002 MWDBE Private Equity RFP. Its contract was extended one year in April 2026 and runs to 30 June 2026, and the Board voted at the 9 April 2026 Investment Committee to re-issue the consultant RFP after the winning firm (Cerity Partners) was dropped over concerns about its own private-equity ownership. I: the consultant seat is unsettled through 2026 - a manager approach lands in the middle of a search, which slows everything down.",https://www.ctpf.org/sites/files/2022-02/Q3%2021_CTPF%20Executive%20Summary.pdf,2026-09-18
Pantheon,District of Columbia Retirement Board (DCRB),United States,not named in source,,2025,board or committee minutes,Yes,District of Columbia Retirement Board (DCRB),3,3,Patrick Sahm ; Gianpiero 'JP' Balestrieri ; Adam Weers,"Three-layer bench and it is the most important fact about this name. Meketa Investment Group has been general investment consultant since 2011. StepStone Group is alternatives consultant from 2025. PANTHEON is the specialist private-equity consultant - the same firm that runs Pantheon Asia Fund, a pan-Asia private-equity fund-of-funds, and the same firm CTPF bought Asia exposure from. A pan-Asia FoF pitched into DCRB is pitched past a gatekeeper that sells the competing product.",https://dcrb.dc.gov/service/investments-0,2026-09-18
Pantheon,Merseyside Pension Fund,United Kingdom,Pantheon Asia Fund VI,,2025,public holdings schedule,Yes,Merseyside Pension Fund (Northern LGPS),2,4,Adil Manzoor ; Alex Abela-Stevenson ; Daniel Proudfoot,"no manager-selection gatekeeper found. The screen that matters is NPEP itself: private equity is pooled through the Northern Private Equity Pool, where the internal teams of the three partner funds select together, so a manager must clear the pool rather than any one fund. Northern LGPS's custodian provides administration for NPEP, not manager selection.",https://mpfund.uk/data/private_equity_q4_2025.xlsx,2026-09-19
Pantheon,Sampension Livsforsikring A/S,Denmark,Pantheon Asia Fund VI,,2025,public holdings schedule,Yes,Sampension,3,2,Henrik Olejasz Larsen ; Stefan Cortz ; not found,"not found - no external investment consultant or gatekeeper named. Sampension outsources equity, credit and alternatives management to external managers and selects them itself; MSCI supplies private capital data and analytics, which is tooling rather than a gate.",https://www.sampension.dk/,2026-09-19
Pantheon,Sampension Livsforsikring A/S,Denmark,Pantheon Emerging Asia Fund VI,,2025,public holdings schedule,Yes,Sampension,3,2,Henrik Olejasz Larsen ; Stefan Cortz ; not found,"not found - no external investment consultant or gatekeeper named. Sampension outsources equity, credit and alternatives management to external managers and selects them itself; MSCI supplies private capital data and analytics, which is tooling rather than a gate.",https://www.sampension.dk/,2026-09-19
Pantheon,Surrey Pension Fund,United Kingdom,not named in source,,2025,annual report,No,,,,,,https://lgpsboard.org/wp-content/uploads/2025/11/Surrey2425_draft.pdf,2026-09-18
Pantheon,Tredje AP-fonden (AP3),Sweden,Pantheon Asia Fund IV,15.0,2006,public holdings schedule,No,,,,,,https://a.storyblok.com/f/257759/x/b625de958c/ap3-private-equity-holdings-june30-2026.pdf,2026-09-19
Pantheon,Tredje AP-fonden (AP3),Sweden,Pantheon Asia Fund V,15.0,2007,public holdings schedule,No,,,,,,https://a.storyblok.com/f/257759/x/b625de958c/ap3-private-equity-holdings-june30-2026.pdf,2026-09-19
Pantheon,Tyne and Wear Pension Fund,United Kingdom,Pantheon Asia Fund IV,20.0,2005,public holdings schedule,No,,,,,,https://lgpsboard.org/wp-content/uploads/2026/03/Tyne-and-Wear-2425-final.pdf,2026-09-19
Pantheon,Tyne and Wear Pension Fund,United Kingdom,Pantheon Asia Fund V,20.0,2007,public holdings schedule,No,,,,,,https://lgpsboard.org/wp-content/uploads/2026/03/Tyne-and-Wear-2425-final.pdf,2026-09-19
Pantheon,Tyne and Wear Pension Fund,United Kingdom,Pantheon Asia Fund VI,40.0,2012,public holdings schedule,No,,,,,,https://lgpsboard.org/wp-content/uploads/2026/03/Tyne-and-Wear-2425-final.pdf,2026-09-19
Pantheon,West Midlands Pension Fund,United Kingdom,Pantheon Asia Fund V,,2025,public holdings schedule,Yes,West Midlands Pension Fund,3,2,,,https://lgpsboard.org/wp-content/uploads/2026/03/WestMidlands2425_final.pdf,2026-09-19
Pantheon,West Yorkshire Pension Fund,United Kingdom,Pantheon Asia Fund VI,25.0,2012,public holdings schedule,Yes,West Yorkshire Pension Fund (Northern LGPS),2,4,Simon Edwards ; John Dewey ; Euan Miller ; Darran Ward ; Councillor Andrew Thornton,"no manager-selection gatekeeper found, and WYPF is the least likely of the three to use one - it runs 20-plus investment staff internally in Bradford and manages much of the fund itself. The real screen is NPEP, where the three partner funds' internal teams select together; Councillor Andrew Thornton chairs the Joint Advisory Group and Investment Advisory Panel that oversees it.",https://www.wypf.org.uk/media/qj4eqe5b/private-equity-portfolio-quarterly-transactions-q1-2026.xlsx,2026-09-19
Partners Group,Lifeyrissjodur verzlunarmanna (LV),Iceland,Partners Group Asia Pacific 2007,,2007,annual report,No,,,,,,https://www.live.is/media/q3wn4mli/_arsreikningur_2025_200326_net.pdf,2026-09-19
Partners Group,Merseyside Pension Fund,United Kingdom,"Partners Group Asia-Pacific 2007, LP (sheet line 'PARTNERS GROUP ASIA-PACIFIC 2007, LP')",,2007,public holdings schedule,Yes,Merseyside Pension Fund (Northern LGPS),2,4,Adil Manzoor ; Alex Abela-Stevenson ; Daniel Proudfoot,"no manager-selection gatekeeper found. The screen that matters is NPEP itself: private equity is pooled through the Northern Private Equity Pool, where the internal teams of the three partner funds select together, so a manager must clear the pool rather than any one fund. Northern LGPS's custodian provides administration for NPEP, not manager selection.",https://mpfund.uk/data/private_equity_q4_2025.xlsx,2026-09-19
Partners Group,Sampension Livsforsikring A/S,Denmark,Partners Group Asia - Pacific 2007,,2007,public holdings schedule,Yes,Sampension,3,2,Henrik Olejasz Larsen ; Stefan Cortz ; not found,"not found - no external investment consultant or gatekeeper named. Sampension outsources equity, credit and alternatives management to external managers and selects them itself; MSCI supplies private capital data and analytics, which is tooling rather than a gate.",https://www.sampension.dk/3cabf1/globalassets/global-media/dokumenter/beholdningslister---pdf/sampension/beholdningslister/private-equity-og-skov---sampension---20251231.pdf,2026-09-19
Partners Group,Sampension Livsforsikring A/S,Denmark,Partners Group Asia - Pacific 2005,,2005,public holdings schedule,Yes,Sampension,3,2,Henrik Olejasz Larsen ; Stefan Cortz ; not found,"not found - no external investment consultant or gatekeeper named. Sampension outsources equity, credit and alternatives management to external managers and selects them itself; MSCI supplies private capital data and analytics, which is tooling rather than a gate.",https://web.archive.org/web/20250722184139/https://www.sampension.dk/media/9380deb4-9f3f-4da1-821e-d56c63c31489/22bXLA/PDF%20dokumenter%202018/Beholdningslister%20-%20alle%20selskaber/Private%20equity%20og%20skov/2023.06.30%20-%20Sampension%20Livsforsikring%20-%20PE%20og%20Skov.pdf,2026-09-19
Partners Group,Unnamed single US investor in the 2011 US feeder,United States,"Partners Group Asia-Pacific 2011, L.P. Inc.; Form D reports USD 40,000,000 sold, date of first sale 24 June 2011, total number of investors already invested: 1. The investor is not named in the filing.",40.0,2011,SEC Form D,No,,,,,,https://www.sec.gov/Archives/edgar/data/1524643/000152464311000001/primary_doc.xml,2026-09-19
Partners Group,West Yorkshire Pension Fund,United Kingdom,Partners Group Asia-Pacific 2007,40.0,2007,public holdings schedule,Yes,West Yorkshire Pension Fund (Northern LGPS),2,4,Simon Edwards ; John Dewey ; Euan Miller ; Darran Ward ; Councillor Andrew Thornton,"no manager-selection gatekeeper found, and WYPF is the least likely of the three to use one - it runs 20-plus investment staff internally in Bradford and manages much of the fund itself. The real screen is NPEP, where the three partner funds' internal teams select together; Councillor Andrew Thornton chairs the Joint Advisory Group and Investment Advisory Panel that oversees it.",https://www.wypf.org.uk/media/qj4eqe5b/private-equity-portfolio-quarterly-transactions-q1-2026.xlsx,2026-09-19
Partners Group,West Yorkshire Pension Fund,United Kingdom,Partners Group Asia-Pacific 2009 (sheet line 'PARTNERS GRP ASIA-PAC 2009'),,2009,public holdings schedule,Yes,West Yorkshire Pension Fund (Northern LGPS),2,4,Simon Edwards ; John Dewey ; Euan Miller ; Darran Ward ; Councillor Andrew Thornton,"no manager-selection gatekeeper found, and WYPF is the least likely of the three to use one - it runs 20-plus investment staff internally in Bradford and manages much of the fund itself. The real screen is NPEP, where the three partner funds' internal teams select together; Councillor Andrew Thornton chairs the Joint Advisory Group and Investment Advisory Panel that oversees it.",https://www.wypf.org.uk/media/qj4eqe5b/private-equity-portfolio-quarterly-transactions-q1-2026.xlsx,2026-09-19
PineBridge Investments private funds group (now Heron View Partners),Lothian Pension Fund (City of Edinburgh Council Pension Fund),United Kingdom,PineBridge PEP IV Non-US Buyout,,,public holdings schedule,No,,,,,,https://www.lpf.org.uk/media/cuthjnqf/20260703-list-of-holdings-for-website-jul-2026-pdf.pdf,2026-09-19
PineBridge Investments private funds group (now Heron View Partners),Lothian Pension Fund (City of Edinburgh Council Pension Fund),United Kingdom,PineBridge PEP V US Small-Mid Buyouts,,,public holdings schedule,No,,,,,,https://www.lpf.org.uk/media/cuthjnqf/20260703-list-of-holdings-for-website-jul-2026-pdf.pdf,2026-09-19
PineBridge Investments private funds group (now Heron View Partners),MWRA Employees' Retirement System,United States,PineBridge (AIG) PEP V Asia,0.55,,public holdings schedule,No,,,,,,https://www.mwraretirement.com/media/4826,2026-09-19
PineBridge Investments private funds group (now Heron View Partners),MWRA Employees' Retirement System,United States,Pinebridge PEP V,6.23,2007,public holdings schedule,No,,,,,,https://www.mwraretirement.com/media/4826,2026-09-19
PineBridge Investments private funds group (now Heron View Partners),New Mexico Public Employees Retirement Association (NM PERA),United States,NM PERA PineBridge Passport Fund I LLC,150,2016,SEC Form D,Yes,"Pension Fund Association (PFA, Kosei Nenkin Kikin Rengokai)",2,4,Shuzo Takahashi ; Taro Morimoto ; Daisuke Hamaguchi,not found - PFA screens managers itself through its published Manager Entry System rather than through a named external gatekeeper,https://www.sec.gov/Archives/edgar/data/1672316/000167231616000001/xslFormDX01/primary_doc.xml,2026-09-19
PineBridge Investments private funds group (now Heron View Partners),Transamerica Life Insurance Company,United States,"PineBridge PEP IV Co-Investment, L.P.",,2016,annual report,No,,,,,,https://www.sec.gov/Archives/edgar/data/859607/000119312517136157/d359426d485bpos.htm,2026-09-19
PineBridge Investments private funds group (now Heron View Partners),Wildermuth Fund (formerly Wildermuth Endowment Fund),United States,PineBridge Secondary Partners IV SLP,,2017,annual report,No,,,,,,https://www.sec.gov/Archives/edgar/data/1586009/000121390023047776/ea154570_ncsr.htm,2026-09-19
Roc Partners,Australian Retirement Trust,Australia,not named in source,,2025,public holdings schedule,No,,,,,,https://files.australianretirementtrust.com.au/phd/super/lifecycle/Lifecycle_High_Growth_Pool_Superannuation.csv?v=20260817,2026-09-19
Roc Partners,AustralianSuper,Australia,not named in source,,2025,public holdings schedule,No,,,,,,https://www.australiansuper.com/-/media/australian-super/files/investments/phd/superannuation/balanced-phd.csv,2026-09-19
Roc Partners,Aware Super,Australia,not named in source,,2025,public holdings schedule,No,,,,,,https://aware.com.au/content/dam/aware/au/en/documents/member/disclosure/phd/portfolio-holdings-disclosure/Accumulation-Balanced.csv,2026-09-19
Roc Partners,CareSuper,Australia,not named in source,,2025,public holdings schedule,No,,,,,,https://www.caresuper.com.au/-/media/project/CareSuper/Files/portfolio-holdings/balanced-phd-a-cs.csv,2026-09-19
Roc Partners,Cbus,Australia,not named in source,,2025,public holdings schedule,No,,,,,,https://www.cbussuper.com.au/content/dam/cbus/files/governance/investment-holdings/super-growth.csv,2026-09-19
Roc Partners,First State Superannuation Scheme (FSS Trustee Corporation),Australia,ROC ES Private Equity Trust,,2022,public holdings schedule,No,,,,,,https://announcements.asx.com.au/asxpdf/20220620/pdf/45b28y75yrmd10.pdf,2026-09-19
Roc Partners,First State Superannuation Scheme (FSS Trustee Corporation),Australia,GO NSW Equity Fund,,2017,board or committee minutes,No,,,,,,https://www.parliament.nsw.gov.au/lcdocs/other/12098/Further%20information%20to%20answers%20provided%20by%20Deputy.pdf,2026-09-19
Roc Partners,HESTA,Australia,not named in source,,2025,public holdings schedule,No,,,,,,https://www.hesta.com.au/content/dam/hesta/phd-all-files/accum-dec-2023/balanced-growth/Balanced-Growth-super-assets.csv,2026-09-19
Roc Partners,Hostplus,Australia,Roc Asia Pacific Co-Investment Fund III,,2025,annual report,No,,,,,,https://hostplus.com.au/content/dam/hostplus-program/site/resources/annual-reports/Annual-Report-2025.pdf.coredownload.pdf,2026-09-19
Roc Partners,Hostplus,Australia,Roc China Growth Fund,,2025,annual report,No,,,,,,https://hostplus.com.au/content/dam/hostplus-program/site/resources/annual-reports/Annual-Report-2025.pdf.coredownload.pdf,2026-09-19
Roc Partners,Hostplus,Australia,Hostplus ROC Private Equity Trust,,2025,annual report,No,,,,,,https://hostplus.com.au/content/dam/hostplus-program/site/resources/annual-reports/Annual-Report-2025.pdf.coredownload.pdf,2026-09-19
Roc Partners,Hostplus,Australia,Roc Capital Private Equity Trust – Tranche 2,,2025,annual report,No,,,,,,https://hostplus.com.au/content/dam/hostplus-program/site/resources/annual-reports/Annual-Report-2025.pdf.coredownload.pdf,2026-09-19
Roc Partners,NGS Super,Australia,not named in source,,2025,public holdings schedule,No,,,,,,https://www.ngssuper.com.au/getmedia/b627f034-2f85-459e-843d-a12a3659a9cb/MySuper-December-2025.csv,2026-09-19
Roc Partners,NSW Government (Jobs for NSW),Australia,GO NSW Equity Fund,,2017,board or committee minutes,No,,,,,,https://www.parliament.nsw.gov.au/lcdocs/other/12098/Further%20information%20to%20answers%20provided%20by%20Deputy.pdf,2026-09-19
Roc Partners,State Universities Retirement System of Illinois,United States,ROC Asia Pacific Private Equity Fund VI,,2025,public holdings schedule,Yes,Illinois State Universities Retirement System (SURS),3,3,Michael Schlachter ; Suzanne Mayer ; John Lyons,"Aksia - private equity AND real assets consultant, and the screen any PE fund must pass (SURS titles its PE manager page after Aksia). Meketa Investment Group - private credit. Northern Trust - master custodian. Aksia also advises OCERS in this same segment, so one Aksia relationship covers two A11 names.",https://surs.org/business/investments/statutory-disclosures/investment-managers-fee-disclosure/,2026-09-19
